seed,variant,mode,split,level,n,window_s,auroc,avg_precision,balanced_acc,accuracy,sensitivity,specificity,f1,cohen_kappa
0,mixed_300,frozen,test,window,4204,30.0,0.6787,0.8115,0.6003,0.6632,0.7788,0.4217,0.7577,0.2068
0,mixed_300,frozen,test,subject,40,30.0,0.65,0.6529,0.55,0.55,0.8,0.3,0.64,0.1
0,mixed_300,frozen,val,window,3676,30.0,0.5761,0.7171,0.5434,0.6243,0.7981,0.2887,0.7368,0.0941
0,mixed_300,frozen,val,subject,40,30.0,0.6325,0.6472,0.525,0.525,0.9,0.15,0.6545,0.05
0,mixed_300,full,test,window,4204,30.0,0.7091,0.8241,0.6355,0.6858,0.7781,0.493,0.7701,0.2742
0,mixed_300,full,test,subject,40,30.0,0.6825,0.7073,0.625,0.625,0.85,0.4,0.6939,0.25
0,mixed_300,full,val,window,3676,30.0,0.6349,0.7691,0.5783,0.6445,0.7865,0.37,0.7446,0.1652
0,mixed_300,full,val,subject,40,30.0,0.7275,0.6368,0.65,0.65,1.0,0.3,0.7407,0.3
0,reconstruction_only,frozen,test,window,4204,30.0,0.6811,0.7959,0.6158,0.6682,0.7643,0.4673,0.757,0.2341
0,reconstruction_only,frozen,test,subject,40,30.0,0.625,0.5937,0.55,0.55,0.75,0.35,0.625,0.1
0,reconstruction_only,frozen,val,window,3676,30.0,0.5391,0.6909,0.5174,0.6045,0.7915,0.2432,0.725,0.038
0,reconstruction_only,frozen,val,subject,40,30.0,0.5075,0.5804,0.525,0.525,0.85,0.2,0.6415,0.05
0,reconstruction_only,full,test,window,4204,30.0,0.7136,0.8495,0.595,0.6755,0.8234,0.3666,0.7744,0.2041
0,reconstruction_only,full,test,subject,40,30.0,0.67,0.7228,0.5,0.5,0.75,0.25,0.6,0.0
0,reconstruction_only,full,val,window,3676,30.0,0.6054,0.725,0.5705,0.673,0.8931,0.248,0.7826,0.1624
0,reconstruction_only,full,val,subject,40,30.0,0.65,0.6188,0.625,0.625,0.95,0.3,0.717,0.25
0,lejepa_only_128,frozen,test,window,4204,30.0,0.5647,0.7151,0.5,0.6763,1.0,0.0,0.8069,0.0
0,lejepa_only_128,frozen,test,subject,40,30.0,0.615,0.6533,0.5,0.5,1.0,0.0,0.6667,0.0
0,lejepa_only_128,frozen,val,window,3676,30.0,0.4858,0.6545,0.5,0.6589,1.0,0.0,0.7944,0.0
0,lejepa_only_128,frozen,val,subject,40,30.0,0.495,0.5328,0.5,0.5,1.0,0.0,0.6667,0.0
0,lejepa_only_128,full,test,window,4204,30.0,0.7022,0.8143,0.6116,0.7215,0.9233,0.2998,0.8176,0.2596
0,lejepa_only_128,full,test,subject,40,30.0,0.6975,0.6651,0.55,0.55,1.0,0.1,0.6897,0.1
0,lejepa_only_128,full,val,window,3676,30.0,0.6276,0.7497,0.5285,0.667,0.9645,0.0925,0.7924,0.0714
0,lejepa_only_128,full,val,subject,40,30.0,0.625,0.6406,0.525,0.525,1.0,0.05,0.678,0.05
0,mixed_128,frozen,test,window,4204,30.0,0.6224,0.7791,0.5668,0.6132,0.6986,0.435,0.7095,0.1313
0,mixed_128,frozen,test,subject,40,30.0,0.5975,0.6197,0.55,0.55,0.7,0.4,0.6087,0.1
0,mixed_128,frozen,val,window,3676,30.0,0.6053,0.7131,0.577,0.6376,0.768,0.386,0.7363,0.1603
0,mixed_128,frozen,val,subject,40,30.0,0.635,0.6252,0.575,0.575,0.8,0.35,0.6531,0.15
0,mixed_128,full,test,window,4204,30.0,0.6635,0.8062,0.6053,0.6101,0.6191,0.5915,0.6823,0.1912
0,mixed_128,full,test,subject,40,30.0,0.65,0.6477,0.55,0.55,0.6,0.5,0.5714,0.1
0,mixed_128,full,val,window,3676,30.0,0.6396,0.7682,0.5919,0.6208,0.6829,0.5008,0.7035,0.1788
0,mixed_128,full,val,subject,40,30.0,0.7125,0.6688,0.75,0.75,0.85,0.65,0.7727,0.5
1,reconstruction_only,frozen,test,window,3813,30.0,0.6315,0.7799,0.5867,0.6279,0.6977,0.4758,0.7198,0.1674
1,reconstruction_only,frozen,test,subject,40,30.0,0.58,0.6398,0.525,0.525,0.65,0.4,0.5778,0.05
1,reconstruction_only,frozen,val,window,3257,30.0,0.5938,0.7167,0.5649,0.6122,0.7164,0.4134,0.708,0.1312
1,reconstruction_only,frozen,val,subject,40,30.0,0.5275,0.5074,0.55,0.55,0.8,0.3,0.64,0.1
1,reconstruction_only,full,test,window,3813,30.0,0.6225,0.7658,0.5818,0.6137,0.6678,0.4958,0.7032,0.1545
1,reconstruction_only,full,test,subject,40,30.0,0.6,0.5755,0.625,0.625,0.75,0.5,0.6667,0.25
1,reconstruction_only,full,val,window,3257,30.0,0.7173,0.7967,0.6668,0.6712,0.6809,0.6527,0.731,0.314
1,reconstruction_only,full,val,subject,40,30.0,0.795,0.6985,0.75,0.75,0.8,0.7,0.7619,0.5
1,lejepa_only_128,frozen,test,window,3813,30.0,0.4984,0.6972,0.5,0.6853,1.0,0.0,0.8133,0.0
1,lejepa_only_128,frozen,test,subject,40,30.0,0.46,0.5205,0.5,0.5,1.0,0.0,0.6667,0.0
1,lejepa_only_128,frozen,val,window,3257,30.0,0.5823,0.7163,0.5,0.6561,1.0,0.0,0.7924,0.0
1,lejepa_only_128,frozen,val,subject,40,30.0,0.6675,0.6253,0.5,0.5,1.0,0.0,0.6667,0.0
1,lejepa_only_128,full,test,window,3813,30.0,0.7765,0.8717,0.5023,0.6863,0.9989,0.0058,0.8136,0.0064
1,lejepa_only_128,full,test,subject,40,30.0,0.8075,0.7874,0.5,0.5,1.0,0.0,0.6667,0.0
1,lejepa_only_128,full,val,window,3257,30.0,0.6911,0.7803,0.5053,0.6595,0.9991,0.0116,0.7938,0.0139
1,lejepa_only_128,full,val,subject,40,30.0,0.65,0.6609,0.5,0.5,1.0,0.0,0.6667,0.0
1,mixed_128,frozen,test,window,3813,30.0,0.6572,0.819,0.614,0.5825,0.5289,0.6992,0.6345,0.1907
1,mixed_128,frozen,test,subject,40,30.0,0.6825,0.7499,0.65,0.65,0.45,0.85,0.5625,0.3
1,mixed_128,frozen,val,window,3257,30.0,0.6019,0.7274,0.584,0.5788,0.5672,0.6009,0.6386,0.1526
1,mixed_128,frozen,val,subject,40,30.0,0.55,0.5381,0.55,0.55,0.55,0.55,0.55,0.1
1,mixed_128,full,test,window,3813,30.0,0.6872,0.8158,0.6349,0.6494,0.6739,0.5958,0.7248,0.2492
1,mixed_128,full,test,subject,40,30.0,0.7125,0.6745,0.675,0.675,0.65,0.7,0.6667,0.35
1,mixed_128,full,val,window,3257,30.0,0.6751,0.7861,0.6161,0.6365,0.6813,0.5509,0.7109,0.2238
1,mixed_128,full,val,subject,40,30.0,0.635,0.5958,0.6,0.6,0.7,0.5,0.6364,0.2
1,mixed_300,frozen,test,window,3813,30.0,0.6741,0.8109,0.5284,0.6994,0.99,0.0667,0.8187,0.0753
1,mixed_300,frozen,test,subject,40,30.0,0.7075,0.7364,0.525,0.525,1.0,0.05,0.678,0.05
1,mixed_300,frozen,val,window,3257,30.0,0.6213,0.7636,0.4996,0.6417,0.9546,0.0446,0.7776,-0.0009
1,mixed_300,frozen,val,subject,40,30.0,0.5525,0.5881,0.5,0.5,1.0,0.0,0.6667,0.0
1,mixed_300,full,test,window,3813,30.0,0.6375,0.7592,0.5697,0.669,0.8377,0.3017,0.7762,0.1537
1,mixed_300,full,test,subject,40,30.0,0.665,0.6197,0.575,0.575,0.9,0.25,0.6792,0.15
1,mixed_300,full,val,window,3257,30.0,0.6582,0.7807,0.5695,0.6472,0.8184,0.3205,0.7527,0.1509
1,mixed_300,full,val,subject,40,30.0,0.6325,0.5815,0.55,0.55,0.95,0.15,0.6786,0.1
2,reconstruction_only,frozen,test,window,4284,30.0,0.6808,0.8309,0.6164,0.7092,0.834,0.3987,0.8035,0.2467
2,reconstruction_only,frozen,test,subject,40,30.0,0.72,0.6908,0.65,0.65,0.95,0.35,0.7308,0.3
2,reconstruction_only,frozen,val,window,3986,30.0,0.5051,0.5827,0.5171,0.5848,0.8353,0.1989,0.7093,0.0378
2,reconstruction_only,frozen,val,subject,40,30.0,0.5275,0.6255,0.5,0.5,0.9,0.1,0.6429,0.0
2,reconstruction_only,full,test,window,4284,30.0,0.6766,0.8363,0.6081,0.6786,0.7735,0.4426,0.7744,0.2158
2,reconstruction_only,full,test,subject,40,30.0,0.7725,0.7219,0.7,0.7,0.95,0.45,0.76,0.4
2,reconstruction_only,full,val,window,3986,30.0,0.5435,0.6431,0.5182,0.5718,0.77,0.2664,0.6856,0.039
2,reconstruction_only,full,val,subject,40,30.0,0.545,0.5933,0.55,0.55,0.8,0.3,0.64,0.1
2,lejepa_only_128,frozen,test,window,4284,30.0,0.5163,0.7253,0.5,0.7131,1.0,0.0,0.8325,0.0
2,lejepa_only_128,frozen,test,subject,40,30.0,0.5575,0.5399,0.5,0.5,1.0,0.0,0.6667,0.0
2,lejepa_only_128,frozen,val,window,3986,30.0,0.494,0.5964,0.5,0.6064,1.0,0.0,0.755,0.0
2,lejepa_only_128,frozen,val,subject,40,30.0,0.5275,0.5689,0.5,0.5,1.0,0.0,0.6667,0.0
2,lejepa_only_128,full,test,window,4284,30.0,0.7137,0.8567,0.5,0.7131,1.0,0.0,0.8325,0.0
2,lejepa_only_128,full,test,subject,40,30.0,0.805,0.7816,0.5,0.5,1.0,0.0,0.6667,0.0
2,lejepa_only_128,full,val,window,3986,30.0,0.561,0.6189,0.5,0.6064,1.0,0.0,0.755,0.0
2,lejepa_only_128,full,val,subject,40,30.0,0.565,0.5645,0.5,0.5,1.0,0.0,0.6667,0.0
2,mixed_128,frozen,test,window,4284,30.0,0.5742,0.764,0.537,0.391,0.1944,0.8796,0.3129,0.0474
2,mixed_128,frozen,test,subject,40,30.0,0.5825,0.5859,0.525,0.525,0.05,1.0,0.0952,0.05
2,mixed_128,frozen,val,window,3986,30.0,0.5499,0.6148,0.5112,0.4599,0.2698,0.7527,0.3772,0.0195
2,mixed_128,frozen,val,subject,40,30.0,0.6325,0.6064,0.5,0.5,0.1,0.9,0.1667,0.0
2,mixed_128,full,test,window,4284,30.0,0.6889,0.8143,0.6155,0.5796,0.5313,0.6998,0.6432,0.1836
2,mixed_128,full,test,subject,40,30.0,0.7225,0.6688,0.55,0.55,0.4,0.7,0.4706,0.1
2,mixed_128,full,val,window,3986,30.0,0.5621,0.6176,0.5514,0.5421,0.5081,0.5946,0.5737,0.0967
2,mixed_128,full,val,subject,40,30.0,0.615,0.6243,0.55,0.55,0.4,0.7,0.4706,0.1
2,mixed_300,frozen,test,window,4284,30.0,0.7462,0.854,0.6602,0.6013,0.5221,0.7982,0.6513,0.2474
2,mixed_300,frozen,test,subject,40,30.0,0.83,0.7632,0.725,0.725,0.55,0.9,0.6667,0.45
2,mixed_300,frozen,val,window,3986,30.0,0.5907,0.6872,0.5603,0.5612,0.5647,0.5558,0.6095,0.1159
